"filename", "language", "Python", "HTML", "Ini", "pip requirements", "Markdown", "Docker", "Ignore", "YAML", "Log", "comment", "blank", "total"
"d:\453502\student_performance_service\templates\core\home.html", "HTML", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 4, 91
"d:\453502\student_performance_service\templates\core\news_detail.html", "HTML", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"d:\453502\student_performance_service\templates\core\news_list.html", "HTML", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"d:\453502\student_performance_service\templates\core\privacy_policy.html", "HTML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"d:\453502\student_performance_service\templates\grades\add_grade.html", "HTML", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 8, 64
"d:\453502\student_performance_service\templates\grades\gradebook.html", "HTML", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 4, 79
"d:\453502\student_performance_service\templates\grades\student_statistics.html", "HTML", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 5, 114
"d:\453502\student_performance_service\templates\grades\teacher_gradebook.html", "HTML", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 5, 119
"d:\453502\student_performance_service\templates\notifications\detail.html", "HTML", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"d:\453502\student_performance_service\templates\notifications\list.html", "HTML", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 4, 76
"d:\453502\student_performance_service\templates\registration\login.html", "HTML", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"d:\453502\student_performance_service\templates\requests\admin_requests.html", "HTML", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 5, 121
"d:\453502\student_performance_service\templates\requests\process_request.html", "HTML", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
"d:\453502\student_performance_service\templates\requests\request_create.html", "HTML", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"d:\453502\student_performance_service\templates\requests\request_detail.html", "HTML", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 7, 53
"d:\453502\student_performance_service\templates\requests\requests_list.html", "HTML", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 4, 83
"d:\453502\student_performance_service\templates\schedule\schedule.html", "HTML", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 5, 93
"d:\453502\student_performance_service\templates\schedule\student_attendance.html", "HTML", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 4, 98
"d:\453502\student_performance_service\templates\schedule\teacher_attendance.html", "HTML", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 7, 114
"d:\453502\student_performance_service\templates\schedule\teacher_attendance_select.html", "HTML", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"d:\453502\student_performance_service\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\tests\test_models.py", "Python", 150, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 171
"d:\453502\student_performance_service\tests\test_views.py", "Python", 116, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31, 152
"Total", "-", 4471, 4360, 4, 10, 40, 12, 18, 70, 8118, 286, 1151, 18540
